Place,Date,Class,Description
"Skagit County, Washington",August 2006,(Class B), - Memory told of camping remote and unnerved by repeated wood knocks in the night near the town of Concrete
"Skagit County, Washington",June 2004,(Class A), - Large animal seen crouching near Baker Lake
"Skagit County, Washington",August 1998,(Class B), - Hunters have something take up perimeter around camp near Mt. Baker
"Skagit County, Washington",Spring 1994-1997+,(Class B), - Missing Cattle and large footprints found
"Skagit County, Washington",August 1986,(Class A), - Three hikers see something cross their path
"Skagit County, Washington",May 1980,(Class A), - Daylight sighting by motorists near the town of Big Lake
"Skagit County, Washington",July 1973,(Class A), - Recalling a morning sighting as a teenager horseback riding near Marblemount
"Skamania County, Washington",August 2022,(Class B), - RECENT (GOOD BET for a one-nighter):  Whoops and knocks heard at Forlorn Lakes
"Skamania County, Washington",December 2020,(Class B), - Possible wood knocks heard near Marble mountain Sno-Park
"Skamania County, Washington",August 2020,(Class B)," - Campers describe loud branch snap, howls, and possible track, northeast of Cougar."
"Skamania County, Washington",Summer 2020,(Class B)," - ""Ohio howls"" heard by campers 7 miles west Trout Lake (the town)"
"Skamania County, Washington",May 2020,(Class B), - Vocalizations near the summit of Silver Star Mountain
"Skamania County, Washington",January 2020,(Class A)," - Road crossing sighting 3mi north of Columbia Gorge, south of Willard"
"Skamania County, Washington",September 2019,(Class B)," - Campers describe sounds, rock throwing and brief sighting at dark near Wind River Work Center outside Carson"
"Skamania County, Washington",November 2016,(Class B)," - Elk hunters have knock answered, hear roar vocalization, have tent slapped, north of Mt. St. Helens. "
"Skamania County, Washington",September 2016/2017,(Class B), - Gifford-Pinchot plateau. Multiple knocks and track 11.5 miles WNW of Mt. Adams.
"Skamania County, Washington",June 2014,(Class B), - Possible daytime sightings by expedition attendees near Mt. Adams
"Skamania County, Washington",September 2010,(Class B), - Couple hear strange vocalization at their cabin near Carson
"Skamania County, Washington",September 2009,(Class B), - Backpacker hears multiple vocalizations while camping near Trout Lake
"Skamania County, Washington",November 2008,(Class B), - Father and son hear a wood knock and find large human-like barefoot tracks while hunting near Trout Lake
"Skamania County, Washington",September 2007,(Class B)," - Man and girlfriend, camping, hear loud footsteps and tree knocking near Cispus, Washington"
"Skamania County, Washington",November 2005,(Class A), - Daylight sighting by a backpacker on Silver Star Mountain (See Photos)  
"Skamania County, Washington",August 2005,(Class B), - Campers hear possible vocalizations at night near Kalama Horse Camp
"Skamania County, Washington",August 1978,(Class B), - Stevenson Ridge vocalization startles father and son
"Skamania County, Washington",November 2004,(Class A), - Motorist Has Late Night Sighting Near Eagle Cliff
"Skamania County, Washington",June 1990-1991,(Class A), - Couple has sighting of something standing on a gravel road
"Skamania County, Washington",December 2000,(Class B), - Large bridge found crossing creekbed
"Skamania County, Washington",September 2004,(Class B), - Elk hunter hears loud screams at night near Deadman's Lake
"Skamania County, Washington",August 2004,(Class B)," - Campers Awaken to Unknown Vocalizations, Brush Popping and Foul Odor"
"Skamania County, Washington",June 2003,(Class B), - Multiple screams heard
"Skamania County, Washington",October 2002,(Class B), - Several sets of tracks found near Skookum Meadows
"Skamania County, Washington",August 2002,(Class A)," - Fishermen encounter upright, slender animal near Lone Butte"
"Skamania County, Washington",August 2001,(Class B)," - Spelunkers hear loud, garbled howls on consecutive nights near Trout Lake"
"Skamania County, Washington",August 2001,(Class B), - Campers hear vocalizations and find possible prints near Skookum Meadow
"Skamania County, Washington",March 2001,(Class B), - Mountain climbers hear loud scream on Mount St. Helens
"Skamania County, Washington",September 2000,(Class A), - BFRO Skookum Expedition
"Skamania County, Washington",September 1999/2000,(Class B), - Bow hunters find footprint and hear vocalizations near Indian Heaven Wilderness
"Skamania County, Washington",October 1999,(Class A), - Large animal lures men away from possible younger animal near Mt. St. Helens
"Skamania County, Washington",September 1999,(Class B), - Bowhunters find track and hear vocalizations near Indian Heaven Wilderness
"Skamania County, Washington",August 1998,(Class B), - Family finds track and scat pile while hiking southeast of Mt. St. Helens
"Skamania County, Washington",June 1998,(Class B), - Witness heard what sounded like sticks being beaten on wood
"Skamania County, Washington",November 1997,(Class A), - Creature seen by witnesses at the bottom of the hill
"Skamania County, Washington",June 1997,(Class B), - Memory told of hearing a possible vocalization from a tent during noon storm at Goose Lake
"Skamania County, Washington",Spring 1997,(Class B), - Hiking couple hears calls and finds footprints near Mt. Adams
"Skamania County, Washington",August 1993,(Class B), - Campers find footprint in Indian Heaven Wilderness
"Skamania County, Washington",July 1991,(Class A), - Climber has night-time sighting near Mt. Adams wilderness
"Skamania County, Washington",July 1985,(Class B), - Campers awakened by late-night visitor in the Indian Heaven Wilderness
"Skamania County, Washington",June 1985,(Class A), - Memory told of a daylight sighting at a golf course in North Bonneville
"Skamania County, Washington",April 1980,(Class A), - Department of Natural Resources tree-planting crew views two animals walking upright near Home Valley
"Skamania County, Washington",April 1978,(Class A)," - Daylight observation from Beacon Rock, along the Columbia River"
"Skamania County, Washington",May 1972,(Class A)," - Multiple witness incident on the western slope of Silver Star Mt., near Pyramid Rock"
"Skamania County, Washington",August 1971,(Class A), - Witness observed creature walking up a hill
"Skamania County, Washington",March 1969,(Class B), - Family on vacation find tracks in an isolated area. 
"Skamania County, Washington",March 1969,(Class A), - Fisherman witnesses bigfoot cross the road in front of his car
"Skamania County, Washington",Fall 1967,(Class A), - Witness saw something he felt confident few men had ever seen
"Skamania County, Washington",Spring 1950,(Class B), - Mother relates story of daughter sighting a large animal near Mill A School
"Snohomish County, Washington",August 2016,(Class B), - Two rock climbers hear wood knocks and footsteps in the early morning at a trailhead
"Snohomish County, Washington",May 2015,(Class B), - Target shooter hears strange sounds (see video) and finds possible tree-breaks and prints off of the Mountain Loop Highway
"Snohomish County, Washington",October 2014,(Class B), - Hiker near Stevens Pass alarmed by very close and loud vocalizations of unknown origin
"Snohomish County, Washington",November 2013,(Class B), - Rocks and growls spook carpenters working at a home with ongoing activity near Stanwood
"Snohomish County, Washington",August 2013,(Class B), - Bear hunter unnerved by thrashing in the bushes by unseen animal near Verlot
"Snohomish County, Washington",July 2013,(Class B), - Group of friends have possible late night interaction in an old rock quarry near Granite Falls
"Snohomish County, Washington",December 2012,(Class A), - Huge upright figure crosses road in-front of Marysville couple at night.
"Snohomish County, Washington",June 2002,(Class A), - Daytime sighting of two upright figures on the bank of Monte Cristo Lake
"Snohomish County, Washington",August 2012,(Class B), - Campers disturbed by approaching vocalizations and unseen visitor off the Mtn. Loop Highway
"Snohomish County, Washington",August 2012,(Class B), - Group of young men report possible activity while 4-wheeling backroads near Verlot
"Snohomish County, Washington",September 2011,(Class A), - Camper has two late night encounters in North Cascades
"Snohomish County, Washington",April 2011,(Class B), - Man hears strange calls while hiking near swamp at Wallace Falls State Park
"Snohomish County, Washington",June 2010,(Class A), - Daylight encounter while hiking on the Tulalip Indian Reservation
"Snohomish County, Washington",July 2009,(Class B), - Night time foot race with an unseen animal near Woodinville
"Snohomish County, Washington",September 2008,(Class B)," - A loud, unknown vocalization startles solo hiker on shore of Goat Lake"
